iter	RMSE
0	0.3507737167
1	0.3474590057
2	0.3440213694
3	0.3408527353
4	0.3383389341
5	0.3355949339
6	0.3330644737
7	0.3304161717
8	0.3276326527
9	0.3250085897
10	0.3225091187
11	0.3203048031
12	0.3181565928
13	0.3159190468
14	0.3137813606
15	0.311344877
16	0.3093488603
17	0.3076658395
18	0.3056255889
19	0.3034025617
20	0.3017217503
21	0.299459795
22	0.2973741169
23	0.2954643724
24	0.2936757134
25	0.2915025139
26	0.2900682922
27	0.2883682261
28	0.2869722202
29	0.2851787177
30	0.2836607626
31	0.2820154347
32	0.2806320585
33	0.2787351767
34	0.2766862592
35	0.2754069761
36	0.2739559154
37	0.2726756534
38	0.2716202785
39	0.2696725281
40	0.2684894189
41	0.2677461617
42	0.2667946868
43	0.2652327332
44	0.2641539883
45	0.262798447
46	0.261134063
47	0.2599034376
48	0.2588754337
49	0.2579136157
50	0.2567287966
51	0.2557196597
52	0.2547462088
53	0.2534301786
54	0.2521587154
55	0.2509878046
56	0.2495559196
57	0.2484823215
58	0.2471731147
59	0.2462593544
60	0.2451452937
61	0.2446528315
62	0.2435282423
63	0.2427800777
64	0.2415757865
65	0.2403641254
66	0.2391748425
67	0.2382359318
68	0.236890542
69	0.2359414776
70	0.2351342697
71	0.23437069
72	0.2335989094
73	0.232665179
74	0.2319946186
75	0.2311293937
76	0.2301868514
77	0.2296291279
78	0.2288578231
79	0.2280023072
80	0.2269409704
81	0.2258540307
82	0.2249341047
83	0.2241625465
84	0.2232996694
85	0.2225265117
86	0.2223202723
87	0.2217613637
88	0.2212256187
89	0.2204738547
90	0.2199534288
91	0.2192511034
92	0.2182682749
93	0.2177150006
94	0.2171096196
95	0.2165057541
96	0.2159425183
97	0.2155034011
98	0.2150236889
99	0.2146459042
