iter	Passed	Remaining
0	31	3093
1	56	2782
2	81	2624
3	102	2454
4	120	2293
5	139	2189
6	158	2109
7	177	2045
8	199	2020
9	218	1966
10	237	1921
11	253	1855
12	271	1815
13	285	1755
14	305	1730
15	321	1686
16	340	1661
17	355	1617
18	370	1580
19	384	1539
20	401	1511
21	415	1474
22	431	1446
23	446	1412
24	464	1392
25	478	1363
26	495	1338
27	509	1309
28	526	1288
29	540	1260
30	555	1236
31	569	1210
32	583	1184
33	603	1171
34	616	1145
35	632	1125
36	647	1102
37	664	1084
38	678	1061
39	695	1043
40	709	1020
41	719	993
42	735	974
43	749	954
44	764	934
45	778	913
46	794	895
47	808	875
48	824	857
49	838	838
50	856	822
51	870	803
52	887	787
53	904	770
54	920	753
55	934	734
56	950	717
57	964	698
58	978	679
59	997	664
60	1012	647
61	1028	630
62	1044	613
63	1060	596
64	1078	580
65	1094	563
66	1112	547
67	1129	531
68	1144	514
69	1159	496
70	1173	479
71	1189	462
72	1204	445
73	1220	428
74	1234	411
75	1252	395
76	1267	378
77	1284	362
78	1298	345
79	1316	329
80	1331	312
81	1347	295
82	1362	279
83	1380	262
84	1394	246
85	1412	229
86	1415	211
87	1429	194
88	1445	178
89	1459	162
90	1474	145
91	1489	129
92	1506	113
93	1522	97
94	1538	80
95	1552	64
96	1567	48
97	1584	32
98	1598	16
99	1604	0
